subject,cnd,d1,d2,d5,Transfer,reac_corr
3,Full,226.8744943,100.9274945,85.70069304,94.24660685,
4,Full,279.077835,217.7830022,99.94517726,128.3049609,
5,Full,138.9453347,133.86075,73.10027002,120.0034767,
8,Control,249.4543296,,204.5250933,110.0648457,
10,Control,166.3071459,,123.6413313,168.7925371,
11,Control,130.9283685,,136.8810802,119.0389299,
12,Full,345.7333268,287.4735873,177.4846353,223.7194712,
13,Full,112.677927,103.9399455,95.84470064,184.3053613,
14,Full,93.55543327,91.99424175,78.0330822,70.90908789,
17,Reactivation,60.73404071,,62.11626086,118.7082644,0.733
19,Control,93.6426222,,102.0703505,117.6776948,
20,Reactivation,382.9583258,,149.9517463,,0.7
21,Reactivation,59.72166257,,47.29822134,98.58974519,0.6
22,Reactivation,235.3365048,,114.1181638,109.1871486,0.867
25,Control,140.0895968,,271.0681211,353.8046422,
29,Reactivation,91.88433978,,60.06512748,79.45305763,0.667
32,Reactivation,195.2231711,,73.72241938,,
33,Control,279.077835,,245.0994038,,
36,Full,134.4052492,84.32950484,66.48087955,104.3780218,
39,Full,164.5663465,103.6440805,76.01426228,113.7051465,
40,Reactivation,138.9930498,,112.6236803,112.8737337,0.93
41,Control,329.725865,,364.4979738,331.54953,
42,Full,122.6768076,122.6768076,90.8084039,119.8937697,
43,Reactivation,122.6768076,,149.924691,368.0262382,0.6
44,Full,139.7203128,106.9906448,85.19558348,,
45,Reactivation,149.2519034,,112.228503,119.8937697,0.73
46,Control,73.41075984,,67.38273843,58.87771469,
47,Reactivation,281.9176489,,99.94517726,252.4663648,0.93
63,Control,159.8495878,,145.2720366,,
24,Control,265.2534364,,168.8717116,,
